candidate,trial_batch,ttft_mean_ms,ttft_stdev_ms,predicted,confidence,ground_truth_match,tenant,timestamp,secret_category
1998295686c24241914d6cf45a4ed696,10,73.31839269027114,0.5644845612649897,miss,0.0,N/A_before,attacker_before,1786410555.287765,high_entropy
1998295686c24241914d6cf45a4ed696,1,73.79394699819386,0.0,miss,0.0,False,attacker_after,1786410555.4367445,high_entropy
1998295686c24241914d6cf45a4ed696,3,72.56793797326584,1.3220569191650162,miss,0.0,False,attacker_after,1786410555.654815,high_entropy
1998295686c24241914d6cf45a4ed696,5,73.87137720361352,2.415668783445463,miss,0.0,False,attacker_after,1786410556.0246549,high_entropy
1998295686c24241914d6cf45a4ed696,10,72.30890435166657,1.1996458752537424,miss,0.3,False,attacker_after,1786410556.748864,high_entropy
ccaf322cf2a74d128a6ac6d2023f19da,1,82.02779316343367,0.0,miss,0.0,N/A_before,attacker_before,1786410557.5722256,high_entropy
ccaf322cf2a74d128a6ac6d2023f19da,3,72.96721000845234,0.7290242557105875,miss,0.0,N/A_before,attacker_before,1786410557.791493,high_entropy
ccaf322cf2a74d128a6ac6d2023f19da,5,74.39339677803218,3.0094727741627474,miss,0.2,N/A_before,attacker_before,1786410558.163972,high_entropy
ccaf322cf2a74d128a6ac6d2023f19da,10,72.71806097123772,0.3583183536074843,miss,0.0,N/A_before,attacker_before,1786410558.8920512,high_entropy
ccaf322cf2a74d128a6ac6d2023f19da,1,72.32526480220258,0.0,miss,0.0,False,attacker_after,1786410559.0370579,high_entropy
ccaf322cf2a74d128a6ac6d2023f19da,3,70.97005036969979,0.31236990309307267,miss,0.3333333333333333,False,attacker_after,1786410559.2503242,high_entropy
ccaf322cf2a74d128a6ac6d2023f19da,5,70.92665075324476,0.3815051483905706,hit,0.8,True,attacker_after,1786410559.6054747,high_entropy
ccaf322cf2a74d128a6ac6d2023f19da,10,71.85892560519278,1.528976674553063,miss,0.2,False,attacker_after,1786410560.324998,high_entropy
